id,category,source,text,summary,word_count,summary_word_count,compression_ratio,n_sentences
1501781400-montella-milan-tidak-terburu-buru-rekrut-penyerang,olahraga,goal indonesia,"Pelatih AC Milan Vincenzo Montella mengatakan klubnya tidak sedang dikejar waktu untuk segera merekrut penyerang baru demi menambah kualitas skuatnya. Sejauh ini Milan telah merekrut sepuluh pemain termasuk penyerang asal Portugal Andre Silva dan bek Juventus Leonardo Bonucci dalam bursa transfer yang sibuk. Mereka juga telah berhasil memperpanjang kontrak Gianluigi Donnarumma yang sebelumnya sempat nampak ingin hengkang. Akan tetapi Montella menyatakan Milan belum selesai dalam hal merekrut pemain baru, beberapa penyerang papan atas seperti Pierre - Emerick Aubameyang dari Borussia Dortmund, Diego Costa milik Chelsea, dan penyerang Torino Andrea Belotti telah dikaitkan dengan Rossoneri. SIMAK JUGA: Mino Raiola Tawarkan Zlatan Ibrahimovic Ke AC Milan "" Kami berhenti sesaat setelah bekerja keras [ di bursa transfer]. Kami tidak terburu-buru, kami penuh perhatian, dan tidak ada batas waktu, "" ujar Montella jelang laga leg kedua babak ketiga kualifikasi Liga Europa kontra CSU Craiova, seperti dikutip dari Goal Internasional. "" Silva melakukan pekerjaannya dengan baik, kami tahu dia perlu berkembang karena dia baru saja tiba. Kemarin dia mengalami masalah kecil pada jarinya, saya akan melakukan evaluasi apakah akan memainkannya. Kompetisi di suatu klub besar adalah hal yang normal, seorang pemain hebat harus bisa mengatasi situasi seperti itu. Tidak perlu terburu-buru dan dia harus beradaptasi. "" Milan unggul 1 - 0 jelang laga leg kedua di Sa Siro, Kamis ( 3 / 8). Mereka meraih kemenangan berkat gol Ricardo Rodriguez, tapi Montella berharap permainan timnya bisa lebih baik lagi. SIMAK JUGA: Ricardo Rodriguez Girang Cetak Gol Kemenangan AC Milan "" Saya mengharapkan permainan yang lebih baik dari tim kami melalui sudut pandang psikologis dibanding fisik seperti saat bermain di Craiova, meskipun tim telah melakukan pendekatan yang tepat. Kami akan mempertahankan pendekatan itu di San Siro, "" kata Montella. "" Kami juga telah mengalami peningkatan secara fisik, sebelumnya kami baru kembali dari Tiongkok dan hanya memiliki masa persiapan tiga hari untuk menjalani laga kontra Craiova. "" "" Kami harus menghormati lawan. Hal yang terpenting pada esok hari adalah hasil tapi kami juga ingin bermain bagus dihadapan para fan. ""","Pelatih AC Milan Vincenzo Montella mengatakan klubnya tidak sedang dikejar waktu untuk segera merekrut penyerang baru demi menambah kualitas skuatnya. Sejauh ini Milan telah merekrut sepuluh pemain. Montella menyatakan Milan belum selesai dalam hal merekrut pemain baru, beberapa penyerang papan atas seperti Pierre - Emerick Aubameyang dari Borussia Dortmund, Diego Costa milik Chelsea, dan penyerang Torino Andrea Belotti telah dikaitkan dengan Rossoneri.",334,62,0.1856,19
1500401700-mutiara-hitam-yang-tak-pernah-berhenti-bersinar,olahraga,cnn indonesia,"Jakarta, CNN Indonesia - - Julukan Mutiara Hitam yang disematkan kepada Persipura Jayapura bukan tanpa makna. Klub asal Papua tersebut terus bersinar meski sempat dilanda segudang problem di awal musim Liga 1 musim 2017. PT Freeport Indonesia yang selama ini menjadi sponsor utama secara mengejutkan menghentikan aliran dana ke Persipura. Kondisi ini sempat membuat manajemen mundur dari kompetisi sebelum akhirnya mendapat suntikan dana segar dari Bank Papua sebesar Rp 7,5 miliar. Klub kebanggaan masyarakat Papua itu memutuskan untuk ikut Liga 1 dengan mengandalkan mayotitas talenta lokal. Hanya Addison Alves ( 36) yang berstatus pemain asing di klub berjuluk Mutiara Hitam. Masalah Persipura belum berhenti sampai di situ. Manajemen klub terpaksa memecat pelatih Angel Alfredo Vera dua hari jelang kompetisi digulirkan karena terbentur regulasi lisensi kepelatihan. PT Liga Indonesia Baru ( LIB) selaku operator Liga 1 mewajibkan pelatih klub kasta tertinggi harus mengantongi lisensi A AFC. Syarat mutlak yang tak bisa dipenuhi pelatih asal Argentina tersebut. Persipura yang menunjuk Liestiadi sebagai pelatih kepala harus terseok-seok di awal musim. Karier mantan juru taktik Persegres Gresik United ini ternyata hanya bertahan di pekan ke - 10. Liestiadi pun memutuskan mundur dari jabatannya setelah Persipura takluk 0 - 2 di markas Madura United. Sebelumnya, Boaz Solossa dkk juga menelan kekalahan telak 1 - 5 dari PSM Makassar. Dua kekalahan beruntun menjadi alasan kuat bagi Liestiadi untuk angkat koper dari Papua. Entah kebetulan atau tidak, kepergian Liestiadi justru menjadi kebangkitan bagi Persipura. Tim kebanggaan Persipura Mania bahkan sukses melejit ke posisi kedua klasemen sementara dengan catatan tak terkalahkan di lima pertandingan terakhir. Teranyar, Persipura yang ditangani pelatih anyar, Wanderley Junior, berhasil mencuri kemenangan di markas Arema FC. Gol yang diciptakan Ruben Sanadi dan Yan Pieter Nasadit memastikan kemenangan 2 - 0 di Malang. Sejumlah talenta lokal macam Marinus Maryanto Manewar dan Prisca Womsiwor pun tampil cemerlang. Marinus mencetak tiga gol dari delapan pertandingan, sementara Womsiwor sukses mengemas lima gol. Womsiwor mulai menjadi sorotan setelah Mariyanus harus absen di sejumlah laga Persipura lantaran tergabung di Timnas Indonesia yang diproyeksikan ke SEA Games 2017. Boaz Solossa yang kini berusia 31 tahun pun masih menjadi anutan para pemain muda. Striker Indonesia di Piala AFF 2016 itu pun sudah menyarangkan lima gol dari 11 pertandingan. Persipura yang sempat terseok-seok di awal musim mulai menunjukkan taji sebagai tim favorit juara. Pengoleksi juara empat kali di kompetisi sepak bola kasta tertinggi itu kembali ke jalur perburuan gelar di Liga 1 musim 2017. Mental juara yang dimiliki Boaz dkk masih tersimpan rapi. Sinar Mutiara Hitam yang sempat pudar kembali berbinar dan mengancam posisi puncak klasemen yang beberapa pekan terakhir dikuasai PSM Makassar. ( har)","Julukan Mutiara Hitam yang disematkan kepada Persipura Jayapura bukan tanpa makna. Klub asal Papua tersebut terus bersinar meski sempat dilanda segudang problem di awal musim Liga 1 musim 2017. PT Freeport Indonesia yang menjadi sponsor utama secara mengejutkan menghentikan aliran dana ke Persipura. Kondisi ini sempat membuat manajemen mundur sebelum mendapat suntikan dana segar dari Bank Papua sebesar Rp 7,5 miliar.",432,61,0.1412,29
1501693860-pengeroyok-bobotoh-ricko-andrean-ditangkap,tajuk utama,cnn indonesia,"Jakarta, CNN Indonesia - - Satuan Reserse Kriminal ( Satreskrim) Polrestabes Bandung berhasil menangkap pelaku pengeroyok Ricko Andrean, suporter Persib Bandung yang meninggal setelah menjadi korban pengeroyokan di Stadion Gelora Bandung Lautan Api ( GBLA) pada laga melawan Persija Jakarta, Sabtu ( 22 / 7). Satu pelaku pengeroyok Ricko yang berhasil ditangkap polisi adalah Wugi F. Rojak, pemuda 19 tahun asal Ciparay, Kabupaten Bandung. Selain Wugi, polisi juga menangkap empat orang lainnya karena mengunggah foto-foto saat Ricko terkapar di Stadion GBLA dan disertai ujaran - ujaran kebencian. Keempat orang yang dijerat UU ITE tersebut adalah GRF, AK, EM dan SL. “ Ya, kami sudah tangkap. Ada lima yang ditangkap. Ditangkap secara bertahap dari wilayah yang berbeda-beda, ” ujar Kapolrestabes Bandung Kombes Pol Hendro Pandowo kepada CNNIndonesia.com, Selasa ( 1 / 8). Hendro mengatakan dalam video yang didapat pihaknya, Wugi menendang dada Ricko ketika pengeroyokan terjadi. Lebih lanjut Hendro mengatakan pihaknya masih memburu empat pelaku lainnya yang diduga mengeroyok Ricko. Polisi sudah berhasil mengidentifikasi keempat pelaku tersebut. “ Selanjutnya, kami masih mengejar empat pelaku pengeroyokan lainnya. Sudah masuk DPO ( daftar pencarian orang), ” ucap Hendro. Ricko meninggal di Rumah Sakit Santo Yusup, Bandung, Kamis ( 27 / 7), lima hari setelah menjadi korban pengeroyokan di Stadion GBLA. Ricko diketahui berusaha melindungi seorang The Jakmania yang ketahuan hadir di Stadion GBLA.","Satuan Reserse Kriminal Polrestabes Bandung berhasil menangkap pelaku pengeroyok Ricko Andrean, suporter Persib Bandung yang meninggal setelah menjadi korban pengeroyokan di Stadion Gelora Bandung Lautan Api pada laga melawan Persija Jakarta, Sabtu. Satu pelaku pengeroyok Ricko yang berhasil ditangkap polisi adalah Wugi F. Rojak, pemuda 19 tahun asal Ciparay, Kabupaten Bandung. Selain Wugi, polisi juga menangkap empat orang lainnya.",220,59,0.2682,14
1516054500-persib-tidak-bisa-gunakan-si-jalak-harupat,olahraga,cnn indonesia,"Jakarta, CNN Indonesia - - Persib Bandung dipastikan tidak bisa menggunakan Stadion Si Jalak Harupat sebagai home base saat mengarungi kompetisi Liga 1 2018. Pasalnya, stadion milik Pemerintah Kabupaten Bandung itu akan direnovasi. Perbaikan yang akan dilakukan itu puin tidak tanggung-tanggung, mulai dari rumput hingga fasilitas stadion. Rencananya, pengerjaan itu akan mulai dilaksanakan pada Senin ( 15 / 1). "" Hari ini terakhir Persib bisa menggunakan Si Jalak Harupat karena besok ( Senin) rumputnya sudah mulai dibongkar, "" kata salah seorang pengelola Si Jalak Harupat, Asep Kustian, Minggu ( 14 / 1). Asep menjelaskan, stadion yang terletak di Soreang tersebut akan direnovasi di beberapa bagian untuk persiapan Asian Games 2018. "" Kalau dalam suratnya sih harusnya hari ini sudah mulai dibongkar, tapi karena belum [ ada perintah] makanya masih bisa dipakai latihan Persib, "" ucap dia. Selain rumput, beberapa fasilitas stadion yang akan diperbaiki adalah tribune dan ruang ganti pemain. Renovasi ditargetkan selesai pada Mei 2018 mendatang. Mengingat ajang Asian Games sendiri akan berlangsung pada Agustus 2018. "" Intinya dipercantik, rumputnya jadi lebih bagus, ruang ganti nantinya pemain punya loker sendiri, satu kursi satu loker. Tempat duduk juga diperbaiki, "" Asep menjelaskan. Dengan kondisi itu, Persib pun terancam tidak bisa menggunakan Stadion Gelora Bandung Lautan Api ( GBLA). Karena, stadion yang berkapasitas 38 ribu tempat duduk itu juga bakal menjadi salah satu venue Asian Games. Sebelumnya klub berjuluk Maung Bandung itu sempat dikabarkan terancam menjadi tuan rumah Grup A Piala Presiden 2018, namun akhirnya Persib bisa menggunakan Stadion GBLA. Untuk Asian Games 2018 rencanannya akan menggunakan lima stadion sebagai venue pertandingan sepak bola putra dan putri. Kelima stadion yang digunakan nanti antara lain, Stadion Patriot Chandrabhaga ( Bekasi), Stadion Wibawa Mukti ( Cikarang), Stadion Pakansari ( Kabupaten Bogor), Stadion GBLA, dan Stadion Si Jalak Harupat ( Bandung). ( hyg / sry)","Persib Bandung dipastikan tidak bisa menggunakan Stadion Si Jalak Harupat sebagai home base saat mengarungi kompetisi Liga 1 2018. Pasalnya, stadion milik Pemerintah Kabupaten Bandung itu akan direnovasi. Perbaikan yang akan dilakukan itu puin tidak tanggung-tanggung, mulai dari rumput hingga fasilitas stadion. Rencananya, pengerjaan itu akan mulai dilaksanakan pada Senin ( 15 / 1). Stadion akan direnovasi untuk persiapan Asian Games 2018.",301,62,0.206,18
1479337228-lorenzo-dan-ducati-saling-mengalah,olahraga,cnn indonesia,"Jakarta, CNN Indonesia - - Manajer Ducati, Gigi Dall'Igna menyebut baik Jorge Lorenzo maupun Ducati akan sama-sama beradaptasi satu sama lain dalam menyambut musim 2017. Lorenzo bakal mendapatkan atmosfer baru dalam perjalanan kariernya di dunia MotoGP setelah memutuskan bergabung dengan Ducati untuk musim balap 2017. Sebelumnya, Lorenzo menghabiskan sembilan musim bersama Yamaha dan meraih tiga titel juara dunia. "" Keduanya ( Ducati dan Lorenzo) harus beradaptasi. Jorge Lorenzo adalah pebalap cerdas dan saya yakin dia akan mengerti bahwa motor yang bakal digunakan setelah ini bakal berbeda dengan motor yang ia tunggangi dalam tahun-tahun sebelumnya di MotoGP, "" ujar Dall'Igna seperti dikutip dari Crash. Menurut Dall'Igna, Lorenzo dan Ducati harus mencari titik temu agar mendapatkan kolaborasi maksimal di musim depan. "" Lorenzo harus mempelajari motor ini terlebih dulu dan melakukan adaptasi terhadap gaya balapnya agar bisa memaksimalkan kekuatan motor ini. "" "" Seperti juga kebalikannya, Ducati juga harus memberikan motor terbaik untuknya. Ducati harus mengerti apa yang dibutuhkan Lorenzo untuk melaju dengan cepat dan memberikan motor sesuai keinginannya. Kami harus bekerja sama untuk mencapai target, "" tutur Dall'Igna. Dall'Igna sendiri pernah bekerja sama dengan Lorenzo saat mereka sama-sama masih di Aprilia. "" Saya sudah memiliki ide untuknya karena saya memahaminya dengan baik. Namun itu sudah lama dan juga terjadi di kelas berbeda. "" "" Jadi terkait perubahan yang mesti kami lakukan tetap harus menunggu tes pertama. Setelah itu barulah mengambil keputusan pertama untuk melakukan perubahan, "" kata Dall'Igna. ( bac)","Manajer Ducati Gigi Dall'Igna menyebutkan bahwa Lorenzo adalah pebalap cerdas dan dirinya yakin bahwa Lorenzo akan mengerti tentang motor yang akan digunakannya berbeda dengan motor yang ia tunggangi dalam tahun-tahun sebelumnya di MotoGP. Lorenzo dan Ducati harus mencari titik temu agar mendapatkan kolaborasi maksimal di musim depan. Sementara itu, Ducati juga harus mengerti apa yang dibutuhkan Lorenzo.",239,57,0.2385,16
1479430236-pemeran-putri-leia-ungkap-hubungan-rahasia-dengan-,showbiz,cnn indonesia,"Jakarta, CNN Indonesia - - Aktris Carrie Fisher, pemeran Princess Leia dalam film Star Wars buka-bukaan dalam buku otobiografinya yang diberi judul ' The Princess Diarist '. Setelah hampir 40 tahun, ia baru mengungkapkan bahwa ada hubungan spesial antara dirinya dan pemeran Han Solo, yakni Harrison Ford. "" Hubungan tersebut sangat intim, "" ungkapnya pada majalah People, seperti dilansir dari CNN, pada Rabu ( 16 / 11). "" Kami adalah Han dan Leia selama hari kerja, dan menjadi Carrie dan Harrison selama akhir pekan, "" tuturnya. Carrie Fisher dan Harrison Ford beradu akting dalam film ikonik Star Wars pada 1976. Keduanya kembali bermain bersama dalam film Star Wars: Force Awaken yang baru dirilis beberapa waktu lalu. Fisher, yang kini berusia 60 tahun, akan meluncurkan buku barunya berdasarkan catatan harian. Berjudul ' The Princess Diarist ', buku tersebut mengungkap apa saja yang dijalani Fisher, termasuk kejadian di balik layar dari film bersejarah, Star Wars pertama. Fisher saat itu berusia 19 tahun ketika didapuk bermain sebagai Putri Leia. Sementara Ford, berusia 33 tahun, adalah suami dari Mary Marquardt, dengan dua orang anak. Dalam tulisannya, Fisher mengungkapkan bahwa ia dan Ford kerap menghabiskan malam bersama usai pesta ulang tahun sutradara George Lucas. "" Saya menatap Harrison. Wajah seorang pahlawan, dengan beberapa helai rambut yang jatuh di dahinya, dan kerutan di keningnya, bagaimana bisa seorang mengabaikan pria yang begitu menarik seperti dia, "" tulisnya. "" Saya sangat tak berpengalaman saat itu, akan tetapi saya menaruh kepercayaan penuh padanya. Ia sangat baik. "" Pengakuan Fisher menimbulkan reaksi publik, khususnya di media sosial. Ada yang shock dan tak sepenuhnya percaya hal tersebut bisa terjadi. Ketidakpercayaan itu beralasan, karena pada Maret lalu, Fisher dalam acara bincang ' The Jonathan Ross Show ' membantah bahwa antara dia dan Ford ada hubungan asmara. Ia mengatakan dirinya memandang Ford sebagai seorang bintang film besar. "" Tak sepenuhnya tertarik pada orang itu, "" ungkapnya. Namun, pengakuan yang ia sampaikan sepertinya telah membantah ucapannya tersebut. ( rah / rah)","Aktris Carrie Fisher, pemeran Princess Leia dalam film Star Wars buka-bukaan dalam buku otobiografinya yang diberi judul The Princess Diarist. Setelah hampir 40 tahun, ia baru mengungkapkan bahwa ada hubungan spesial antara dirinya dan pemeran Han Solo, yakni Harrison Ford. Dilansir majalah People, Carrie mengatakan hubungan tersebut sangat intim, sampai publik pun tak menyangka dengan kabar tersebut yang baru diungkap.",327,60,0.1835,22
1475518534-wali-kota-jaksel-larang-ibadat-jemaah-gbkp-pasar-m,tajuk utama,cnn indonesia,"Jakarta, CNN Indonesia - - Wali Kota Jakarta Selatan Tri Kurniadi melarang warga untuk beribadat di Gereja Batak Karo Protestan ( GBKP) Pasar Minggu, karena tak memiliki izin sebagai rumah ibadat. Hal itu disampaikan Tri dalam surat imbauan Nomor 887 / -1.856.21 bertanggal 30 September 2016. Dalam surat itu disebutkan gereja yang dipakai sebagai tempat ibadat adalah rumah kantor. “ Bahwa kegiatan peribadatan jemaat GBKP Pasar Minggu menggunakan bangunan rumah kantor di RT 014 RW 04 Kelurahan Tanjung Barat Kecamatan Jagakarsa dan tidak memiliki IMB sebagai sarana ibadat, ” demikian Tri dalam surat yang dilansir Detik.com, Minggu ( 2 / 10). Tri menyatakan warga sebenarnya sudah diminta untuk mengurus izin rumah ibadat itu sampai 26 September lalu, namun tak dapat memenuhi persyaratan. Oleh karena itu, dia mengatakan, pihaknya mengimbau untuk menghentikan kegiatan yang berlokasi di RT 014 RW 04 Kelurahan Tanjung Barat, Jagakarsa, Jakarta Selatan itu. Walaupun demikian, Pemerintah Kota Jakarta Selatan berjanji untuk memfasilitasi tersedianya lokasi pembangunan rumah ibadat GBKP tersebut. Tri menyatakan dalam surat tersebut, warga kelurahan Tanjung Barat juga menyatakan penolakannya terhadap kegiatan ibadat tersebut. Tri Kurniadi menyebutkan basis aturan yang dipakai adalah Peraturan Bersama Menteri Agama dan Menteri Dalam Negeri Nomor 9 Tahun 2006/Nomor 8 Tahun 2016 tentang Pedoman Pelaksanaan Tugas Kepala Daerah / Wakil Kepala Daerah dalam Pemeliharaan Kerukunan Umat Beragama. Tak Memberikan Keadilan Terkait dengan hal itu, Wakil Ketua Setara Institute Bonar Naipospos menuturkan peraturan bersama menteri itu secara substantif tidak memberikan keadilan dan kepastian hukum kepada minoritas. Dia menuturkan peraturan itu justru menjadi saringan legal untuk mempersulit pendirian rumah ibadat. “ Alih - alih dioptimalisasi sebagai instrumen kerukunan dan keadilan bagi seluruh umat beragama, peraturan bersama menteri diinstrumentasi sebagai saringan legal untuk mempersulit pendirian rumah ibadat kelompok minoritas, ” kata Bonar dalam keterangannya yang dikutip CNNIndonesia.com. Dia menegaskan pemerintah pusat tampak canggung untuk mengevaluasi regulasi di bawahnya, salah satunya adalah level kementerian. ( asa)","Wali Kota Jakarta Selatan Tri Kurniadi melarang warga untuk beribadat di Gereja Batak Karo Protestan ( GBKP) Pasar Minggu, karena tak memiliki izin sebagai rumah ibadat. Imbauan tersebut disampaikan melalui surat imbauan Nomor 887 / -1.856.21 bertanggal 30 September 2016. Gereja GBKP berada pada bangunan rumah kantor dan bukan sebagai tempat ibadah dalam surat izin bangunannya ( IMB). Pemerintah Kota Jakarta Selatan berjanji memfasilitasi rumah ibadat GBKP.",311,67,0.2154,15
1507145406-pep-guardiola-punya-ambisi-latih-spanyol,olahraga,goal indonesia,"Manajer Manchester City Pep Guardiola membuka diri untuk melatih tim nasional Spanyol di masa depan. Guardiola, 46 tahun, pernah memperkuat Spanyol sebagai pemain antara 1992 dan 2001, dengan yang bersangkutan menjadi bagian dari skuat La Furia Roja di Piala Dunia 1994 dan Euro 2000. Meski kini bahagia bersama City, Guardiola dalam keterangannya kepada Gary Lineker di program acara The Premier Legue Show di BBC tidak memungkiri niatannya untuk menukangi Spanyol Guardiola mengatakan: “ Saya senang untuk berada di sini [ di City]. Ini semua tergantung pada kesuksesan yang Anda miliki. Di klub-klub besar seperti Manchester City, jika Anda tidak menang, Anda tidak bisa bertahan. “ [ Saya sendiri ingin melatih] Spanyol, saya pikir begitu. Saya ingin menjadi manajer di Piala Dunia, Euro. Saya ingin merasakannya. ” Untuk sementara, City arahan Guardiola bersaing ketat dengan Manchester United di puncak klasemen Liga Primer Inggris setelah mengoleksi 19 poin, namun kubu Eastlands berada di urutan pertama lantaran memiliki keunggulan agresivitas gol.","Manajer Manchester City Pep Guardiola membuka diri untuk melatih tim nasional Spanyol di masa depan. Meski kini bahagia bersama City, Guardiola dalam keterangannya kepada Gary Lineker di program acara The Premier Legue Show di BBC tidak memungkiri niatannya untuk menukangi Spanyol. “ [ Saya sendiri ingin melatih] Spanyol, saya pikir begitu. Saya ingin menjadi manajer di Piala Dunia, Euro. Saya ingin merasakannya. ”",158,63,0.3987,10
1517034600-baru-dapat-momongan-kim-kardashian-ingin-punya-ana,showbiz,cnn indonesia,"Jakarta, CNN Indonesia - - Bintang televisi Kim Kardashian baru saja dikaruniai seorang anak perempuan lewat ibu pengganti. Namun kini, ia dan sang suami Kanye West dilaporkan sudah ingin menambah anak lagi, kurang dari dua minggu setelah kelahiran anak ketiganya. Pasangan selebriti itu disebutkan sedang berpikir untuk menambah anggota keluarga lagi lewat bantuan ibu pengganti yang sama. "" Bahkan sebelum Chicago lahir, Kim telah membicarakan dengan ibu pengganti itu untuk mengandung bayi berikutnya, "" kata seorang sumber kepada People. "" Dia sangat senang dengan keseluruhan proses dan senang dengan ibu pengganti itu. Kanye bahkan terikat dengan suami sang ibu pengganti di ruang persalinan, "" tambahnya. Menurut sumber yang sama, Kim memang ingin punya keluarga besar. "" Dia sangat bahagia memiliki lima anggota keluarga. Dia ingin keluarganya bertambah lebih besar, "" katanya. Kanye pun dilaporkan mendukung keinginan Kim itu. Rapper pelantun lagu Famous itu disebut memang sangat mencintai anak-anak dan menginginkan untuk memiliki lebih banyak momongan. Kim dan Kanye telah dikaruniai North ( 4), Saint ( 2) dan seorang anak perempuan bernama Chicago yang lahir pada 15 Januari lalu. "" Kami sangat berterima kasih kepada ibu pengganti kami yang mewujudkan impian kami menjadi nyata dengan hadiah terindah yang diberikan dan kepada dokter serta suster yang luar biasa untuk perawatan khusus mereka, "" ungkap Kim saat kelahiran putri bungsunya. Kim diketahui memutuskan menggunakan ibu pengganti dikarenakan menderita komplikasi pada dua kehamilan sebelumnya, seperti diberitakan Ace Showbiz. ( rsa)","im Kardashian baru saja dikaruniai seorang anak perempuan lewat ibu pengganti. Namun kini, ia dan sang suami Kanye West dilaporkan sudah ingin menambah anak lagi, kurang dari dua minggu setelah kelahiran anak ketiganya. Pasangan selebriti itu disebutkan sedang berpikir untuk menambah anggota keluarga lagi lewat bantuan ibu pengganti yang sama.",236,50,0.2119,15
1489627853-pemerintah-minta-polri-ambil-alih-kasus-sinopec,tajuk utama,antaranews,"Jakarta ( ANTARA News) - Pemerintah melalui Satuan Tugas Pelaksanaan Kebijakan Ekonomi, Kementerian Koordinator Maritim meminta Mabes Polri mengambil alih penanganan kasus dugaan tindak pidana pejabat Sinopec dari Kepolisian Daerah Kepulauan Riau ( Kepri). "" Kami memang meminta Mabes Polri untuk mengambil alih penanganan kasus pidananya dari Polda Kepri. Biar informasinya lebih mudah diperoleh, "" kata Wakil Ketua Pokja IV Satuan Tugas Pelaksanaan Kebijakan Ekonomi, Kementerian Koordinator Maritim, Purbaya Yudhi Sadewa dalam keterangan tertulis di Jakarta, Selasa. Purbaya mengatakan bahwa terhentinya proyek tangki BBM oleh anak usaha Sinopec Group senilai 850 juta dolar AS, yaitu Sinomart KTS Development Limited ( Sinomart) disebabkan oleh dugaan kasus tindak pidana yang dilakukan oleh perwakilan Sinomart di perusahaan patungan ( joint venture). Hal itu juga berakibat perwakilan Sinomart keluar dari Indonesia sehingga rencana investasinya berhenti. "" Ketika kasus ini ditangani oleh Polda Riau membuat investor asing tidak bisa hadir. Ini yang sedang kami cari solusinya, "" kata Purbaya. Pakar hukum pidana Universitas Trisaksi Abdul Fickar Hadjar secara terpisah mengatakan bahwa Pokja IV harus memiliki alasan yang jelas dalam merekomendasikan pengambilalihan kasus yang ditangani Polda Kepri ke Bareskrim Mabes Polri. Menurut dia, rekomendasi yang dilakukan oleh Pojka IV itu pendekatannya lebih pada pendekatan bisnis karena ini terkait dengan investasi. Sebenarnya, kata Fickar, jika terkait dengan penegakan hukum, tidak melulu soal bisnis. "" Penegakan hukum itu tidak melulu menghitung risiko bisnis atau investasi "", "" katanya. Sebelumnya, Polda Kepri menetapkan dua direksi dan satu komisaris utama PT West Point Terminal ( WPT) sebagai tersangka kasus dugaan penggelapan dana perusahaan. PT WPT merupakan perusahaan patungan ( joint venture) antara Sinomart ( 95 persen saham) dan patner lokalnya PT Mas Capital Trust ( MCT / 5 persen saham). Lewat WPT inilah Sinopec Group ingin membangun depo BBM di Batam. Tiga pejabat WPT perwakilan Sinomart tersebut diduga telah melakukan tindak pidana penggelapan dana perusahaan senilai 1,5 juta dolar AS. Terkait dengan kasus ini, Bareskrim Mabes POLRI berdasarkan Surat Pemberitahuan Perkembangan Hasil Penyidikan Perkara ( SP2HP) merekomendasikan untuk menerbitkan "" red notice "" atas tiga warga negara asing ( WNA) di PT WTP itu. Hal itu dilakukan karena tiga WNA tersebut tidak pernah memenuhi panggilan Polda Kepri sejak ditetapkan sebagai tersangka. Untuk menyelesaikan persoalan terkait dengan investasi Sinopec di Batam, kata Fickar, Pokja IV harusnya melakukan pendekatan bisnis, bukan mengintervensi proses hukum penyidikan pidana yang sudah berjalan. Selama ini, kata dia, pengawasan penyidikan sudah ada dalam tubuh Polri sendiri melalui Birowassidik, Propam, dan Inspektorat, termasuk dari eksternal oleh Komisi Kepolisian. ( T.E008/D007)","Pemerintah melalui Satuan Tugas Pelaksanaan Kebijakan Ekonomi, Kementerian Koordinator Maritim meminta Mabes Polri mengambil alih penanganan kasus dugaan tindak pidana pejabat Sinopec. Terhentinya proyek tangki BBM oleh anak usaha Sinopec Group senilai 850 juta dolar AS, yaitu Sinomart disebabkan oleh dugaan kasus tindak pidana yang dilakukan oleh perwakilan Sinomart di perusahaan patungan. Hal itu juga berakibat perwakilan Sinomart keluar dari Indonesia.",412,61,0.1481,20
